N#,Band,From,to
1,AM   , 535 KHz, 1.7 MHz
2,SW1  , 1.7 MHz, 3.5 MHz
3,SW2A , 3.5 MHz, 4.0 MHz
4,SW3  , 4.0 MHz, 7.0 MHz
5,SW4A , 7.0 MHz, 7.3 MHz
6,SW5  , 7.3 MHz, 9.0 MHz
7,SW6  , 9.0 MHz, 10.0 MHz
8,SW7A , 10.0 MHz, 11.0 MHz
9,SW8  , 11.0 MHz, 14.0 MHz
10,SW9A , 14.0 Mhz, 15.0 MHz
11,SW10 , 15.0 MHz, 17.0 MHz
12,SW11 , 17.0 MHz, 18.0 MHz
13,SW12A, 18.0 MHz, 20.0 MHz
14,SW13A, 20.0 MHz, 21.35 MHz
15,SW14 , 21.35 MHz,22.00 MHz
16,SW15 , 22.0 MHz, 24.88 MHz
17,SW16A, 24.88 MHz, 24.99 MHz
18,SW17 , 24.99 MHz, 26.0 MHz
19,SW18C, 26.0 MHz, 28.0 MHz
20,SW19A, 28.0 MHz, 30.0 MHz
21,VHF1 , 30.0 MHz, 50.0 MHz
22,VHF2A, 50.0 MHz, 54.0 MHz
23,VHF3 , 54.0 MHz, 86.0 MHz
24,FM   , 86.0 MHz, 108.0 MHz
25,VHF4 , 108.0 MHz, 120.0 MHz 
26,VHF5 , 120.0 MHz, 135.0 MHz
27,VHF6 , 135.0 MHz, 160.0 MHz
